scope,strategy,label,average_cer,average_compute_cost,relative_cost_vs_fixed_separated,automatic_coverage,manual_review_count,sample_count,case_count,selected_method_mix,notes
TEST,fixed_mixed_whisper,synthetic/silver,0.44473,0.60434,0.501544,1.0,0,50,50,mixed_whisper:50,"Synthetic split cascade validation; route selection uses overlap, duplicate-removal, or existing reference-free routing outputs. CER is evaluation-only."
TEST,fixed_separated_whisper,synthetic/silver,0.436666,1.20496,1.0,1.0,0,50,50,separated_whisper:50,"Synthetic split cascade validation; route selection uses overlap, duplicate-removal, or existing reference-free routing outputs. CER is evaluation-only."
TEST,fixed_separated_whisper_cleaned,synthetic/silver,0.185238,1.20496,1.0,1.0,0,50,50,separated_whisper_cleaned:50,"Synthetic split cascade validation; route selection uses overlap, duplicate-removal, or existing reference-free routing outputs. CER is evaluation-only."
TEST,router_v2_synthetic_costed,synthetic/silver,0.335326,0.79586,0.660487,1.0,0,50,50,mixed_whisper:30;separated_whisper:20,"Synthetic split cascade validation; route selection uses overlap, duplicate-removal, or existing reference-free routing outputs. CER is evaluation-only."
TEST,budget_cascade,synthetic/silver,0.315064,0.92438,0.767146,1.0,0,50,50,mixed_whisper:20;separated_whisper:10;separated_whisper_cleaned:20,"Synthetic split cascade validation; route selection uses overlap, duplicate-removal, or existing reference-free routing outputs. CER is evaluation-only."
TEST,cleaned_preferred_cascade,synthetic/silver,0.273921,1.12558,0.934122,1.0,0,50,50,mixed_whisper:18;separated_whisper:9;separated_whisper_cleaned:23,"Synthetic split cascade validation; route selection uses overlap, duplicate-removal, or existing reference-free routing outputs. CER is evaluation-only."
SyntheticHeavyOverlap,fixed_mixed_whisper,synthetic/silver,0.740711,0.7447,0.77215,1.0,0,20,20,mixed_whisper:20,"Synthetic split cascade validation; route selection uses overlap, duplicate-removal, or existing reference-free routing outputs. CER is evaluation-only."
SyntheticHeavyOverlap,fixed_separated_whisper,synthetic/silver,0.288975,0.96445,1.0,1.0,0,20,20,separated_whisper:20,"Synthetic split cascade validation; route selection uses overlap, duplicate-removal, or existing reference-free routing outputs. CER is evaluation-only."
SyntheticHeavyOverlap,fixed_separated_whisper_cleaned,synthetic/silver,0.173261,0.96445,1.0,1.0,0,20,20,separated_whisper_cleaned:20,"Synthetic split cascade validation; route selection uses overlap, duplicate-removal, or existing reference-free routing outputs. CER is evaluation-only."
SyntheticHeavyOverlap,router_v2_synthetic_costed,synthetic/silver,0.288975,0.96445,1.0,1.0,0,20,20,separated_whisper:20,"Synthetic split cascade validation; route selection uses overlap, duplicate-removal, or existing reference-free routing outputs. CER is evaluation-only."
SyntheticHeavyOverlap,budget_cascade,synthetic/silver,0.173261,0.96445,1.0,1.0,0,20,20,separated_whisper_cleaned:20,"Synthetic split cascade validation; route selection uses overlap, duplicate-removal, or existing reference-free routing outputs. CER is evaluation-only."
SyntheticHeavyOverlap,cleaned_preferred_cascade,synthetic/silver,0.173261,0.96445,1.0,1.0,0,20,20,separated_whisper_cleaned:20,"Synthetic split cascade validation; route selection uses overlap, duplicate-removal, or existing reference-free routing outputs. CER is evaluation-only."
SyntheticLightOverlap,fixed_mixed_whisper,synthetic/silver,0.26131,0.77015,0.649422,1.0,0,20,20,mixed_whisper:20,"Synthetic split cascade validation; route selection uses overlap, duplicate-removal, or existing reference-free routing outputs. CER is evaluation-only."
SyntheticLightOverlap,fixed_separated_whisper,synthetic/silver,0.346618,1.1859,1.0,1.0,0,20,20,separated_whisper:20,"Synthetic split cascade validation; route selection uses overlap, duplicate-removal, or existing reference-free routing outputs. CER is evaluation-only."
SyntheticLightOverlap,fixed_separated_whisper_cleaned,synthetic/silver,0.163761,1.1859,1.0,1.0,0,20,20,separated_whisper_cleaned:20,"Synthetic split cascade validation; route selection uses overlap, duplicate-removal, or existing reference-free routing outputs. CER is evaluation-only."
SyntheticLightOverlap,router_v2_synthetic_costed,synthetic/silver,0.26131,0.77015,0.649422,1.0,0,20,20,mixed_whisper:20,"Synthetic split cascade validation; route selection uses overlap, duplicate-removal, or existing reference-free routing outputs. CER is evaluation-only."
SyntheticLightOverlap,budget_cascade,synthetic/silver,0.26131,0.77015,0.649422,1.0,0,20,20,mixed_whisper:20,"Synthetic split cascade validation; route selection uses overlap, duplicate-removal, or existing reference-free routing outputs. CER is evaluation-only."
SyntheticLightOverlap,cleaned_preferred_cascade,synthetic/silver,0.282738,1.03665,0.874146,1.0,0,20,20,mixed_whisper:19;separated_whisper_cleaned:1,"Synthetic split cascade validation; route selection uses overlap, duplicate-removal, or existing reference-free routing outputs. CER is evaluation-only."
SyntheticMidOverlap,fixed_mixed_whisper,synthetic/silver,0.405127,0.63515,0.620627,1.0,0,20,20,mixed_whisper:20,"Synthetic split cascade validation; route selection uses overlap, duplicate-removal, or existing reference-free routing outputs. CER is evaluation-only."
SyntheticMidOverlap,fixed_separated_whisper,synthetic/silver,0.375541,1.0234,1.0,1.0,0,20,20,separated_whisper:20,"Synthetic split cascade validation; route selection uses overlap, duplicate-removal, or existing reference-free routing outputs. CER is evaluation-only."
SyntheticMidOverlap,fixed_separated_whisper_cleaned,synthetic/silver,0.179826,1.0234,1.0,1.0,0,20,20,separated_whisper_cleaned:20,"Synthetic split cascade validation; route selection uses overlap, duplicate-removal, or existing reference-free routing outputs. CER is evaluation-only."
SyntheticMidOverlap,router_v2_synthetic_costed,synthetic/silver,0.405127,0.63515,0.620627,1.0,0,20,20,mixed_whisper:20,"Synthetic split cascade validation; route selection uses overlap, duplicate-removal, or existing reference-free routing outputs. CER is evaluation-only."
SyntheticMidOverlap,budget_cascade,synthetic/silver,0.405127,0.63515,0.620627,1.0,0,20,20,mixed_whisper:20,"Synthetic split cascade validation; route selection uses overlap, duplicate-removal, or existing reference-free routing outputs. CER is evaluation-only."
SyntheticMidOverlap,cleaned_preferred_cascade,synthetic/silver,0.415127,0.87165,0.85172,1.0,0,20,20,mixed_whisper:19;separated_whisper_cleaned:1,"Synthetic split cascade validation; route selection uses overlap, duplicate-removal, or existing reference-free routing outputs. CER is evaluation-only."
SyntheticNoOverlap,fixed_mixed_whisper,synthetic/silver,0.298837,0.7494,0.474049,1.0,0,20,20,mixed_whisper:20,"Synthetic split cascade validation; route selection uses overlap, duplicate-removal, or existing reference-free routing outputs. CER is evaluation-only."
SyntheticNoOverlap,fixed_separated_whisper,synthetic/silver,0.826526,1.58085,1.0,1.0,0,20,20,separated_whisper:20,"Synthetic split cascade validation; route selection uses overlap, duplicate-removal, or existing reference-free routing outputs. CER is evaluation-only."
SyntheticNoOverlap,fixed_separated_whisper_cleaned,synthetic/silver,0.20657,1.58085,1.0,1.0,0,20,20,separated_whisper_cleaned:20,"Synthetic split cascade validation; route selection uses overlap, duplicate-removal, or existing reference-free routing outputs. CER is evaluation-only."
SyntheticNoOverlap,router_v2_synthetic_costed,synthetic/silver,0.298837,0.7494,0.474049,1.0,0,20,20,mixed_whisper:20,"Synthetic split cascade validation; route selection uses overlap, duplicate-removal, or existing reference-free routing outputs. CER is evaluation-only."
SyntheticNoOverlap,budget_cascade,synthetic/silver,0.826526,1.58085,1.0,1.0,0,20,20,separated_whisper:20,"Synthetic split cascade validation; route selection uses overlap, duplicate-removal, or existing reference-free routing outputs. CER is evaluation-only."
SyntheticNoOverlap,cleaned_preferred_cascade,synthetic/silver,0.20657,1.58085,1.0,1.0,0,20,20,separated_whisper:17;separated_whisper_cleaned:3,"Synthetic split cascade validation; route selection uses overlap, duplicate-removal, or existing reference-free routing outputs. CER is evaluation-only."
SyntheticOppositeOverlap,fixed_mixed_whisper,synthetic/silver,0.622588,0.4706,0.597815,1.0,0,20,20,mixed_whisper:20,"Synthetic split cascade validation; route selection uses overlap, duplicate-removal, or existing reference-free routing outputs. CER is evaluation-only."
SyntheticOppositeOverlap,fixed_separated_whisper,synthetic/silver,0.171687,0.7872,1.0,1.0,0,20,20,separated_whisper:20,"Synthetic split cascade validation; route selection uses overlap, duplicate-removal, or existing reference-free routing outputs. CER is evaluation-only."
SyntheticOppositeOverlap,fixed_separated_whisper_cleaned,synthetic/silver,0.171687,0.7872,1.0,1.0,0,20,20,separated_whisper_cleaned:20,"Synthetic split cascade validation; route selection uses overlap, duplicate-removal, or existing reference-free routing outputs. CER is evaluation-only."
SyntheticOppositeOverlap,router_v2_synthetic_costed,synthetic/silver,0.171687,0.7872,1.0,1.0,0,20,20,separated_whisper:20,"Synthetic split cascade validation; route selection uses overlap, duplicate-removal, or existing reference-free routing outputs. CER is evaluation-only."
SyntheticOppositeOverlap,budget_cascade,synthetic/silver,0.171687,0.7872,1.0,1.0,0,20,20,separated_whisper_cleaned:20,"Synthetic split cascade validation; route selection uses overlap, duplicate-removal, or existing reference-free routing outputs. CER is evaluation-only."
SyntheticOppositeOverlap,cleaned_preferred_cascade,synthetic/silver,0.171687,0.7872,1.0,1.0,0,20,20,separated_whisper_cleaned:20,"Synthetic split cascade validation; route selection uses overlap, duplicate-removal, or existing reference-free routing outputs. CER is evaluation-only."
