sample_id,tier,overlap_level,selected_method,decision_rule,mixed_segments_count,separated_segments_count,cleaned_segments_count,mixed_text_length,separated_text_length,cleaned_text_length,text_length_ratio,mixed_runtime_sec,separated_runtime_sec,cleaned_runtime_sec,runtime_ratio,duplicate_removed_count,notes
SyntheticMidOverlap_01,SyntheticMidOverlap,2,mixed_whisper,"if overlap_level in [1, 2], choose mixed_whisper",2,2,2,31,58,58,1.870968,0.818,1.031,1.031,1.260391,0,Router is rule-based and does not use CER as an input feature. Cleaned transcript is retained as a fallback candidate but not selected by the initial rule.
SyntheticMidOverlap_02,SyntheticMidOverlap,2,mixed_whisper,"if overlap_level in [1, 2], choose mixed_whisper",2,2,2,30,51,51,1.7,0.753,0.852,0.852,1.131474,0,Router is rule-based and does not use CER as an input feature. Cleaned transcript is retained as a fallback candidate but not selected by the initial rule.
SyntheticMidOverlap_03,SyntheticMidOverlap,2,mixed_whisper,"if overlap_level in [1, 2], choose mixed_whisper",3,2,2,22,41,41,1.863636,0.63,0.654,0.654,1.038095,0,Router is rule-based and does not use CER as an input feature. Cleaned transcript is retained as a fallback candidate but not selected by the initial rule.
SyntheticMidOverlap_04,SyntheticMidOverlap,2,mixed_whisper,"if overlap_level in [1, 2], choose mixed_whisper",1,2,2,11,43,43,3.909091,0.347,0.606,0.606,1.746398,0,Router is rule-based and does not use CER as an input feature. Cleaned transcript is retained as a fallback candidate but not selected by the initial rule.
SyntheticMidOverlap_05,SyntheticMidOverlap,2,mixed_whisper,"if overlap_level in [1, 2], choose mixed_whisper",2,2,2,25,50,50,2.0,0.702,0.854,0.854,1.216524,0,Router is rule-based and does not use CER as an input feature. Cleaned transcript is retained as a fallback candidate but not selected by the initial rule.
SyntheticHeavyOverlap_01,SyntheticHeavyOverlap,3,separated_whisper,"if overlap_level >= 3, choose separated_whisper",3,2,2,27,58,58,2.148148,0.762,0.983,0.983,1.290026,0,Router is rule-based and does not use CER as an input feature. Cleaned transcript is retained as a fallback candidate but not selected by the initial rule.
SyntheticHeavyOverlap_02,SyntheticHeavyOverlap,3,separated_whisper,"if overlap_level >= 3, choose separated_whisper",2,2,2,27,51,51,1.888889,0.684,0.828,0.828,1.210526,0,Router is rule-based and does not use CER as an input feature. Cleaned transcript is retained as a fallback candidate but not selected by the initial rule.
SyntheticHeavyOverlap_03,SyntheticHeavyOverlap,3,separated_whisper,"if overlap_level >= 3, choose separated_whisper",3,2,2,16,41,41,2.5625,0.675,0.684,0.684,1.013333,0,Router is rule-based and does not use CER as an input feature. Cleaned transcript is retained as a fallback candidate but not selected by the initial rule.
SyntheticHeavyOverlap_04,SyntheticHeavyOverlap,3,separated_whisper,"if overlap_level >= 3, choose separated_whisper",2,2,2,16,43,43,2.6875,0.548,0.651,0.651,1.187956,0,Router is rule-based and does not use CER as an input feature. Cleaned transcript is retained as a fallback candidate but not selected by the initial rule.
SyntheticHeavyOverlap_05,SyntheticHeavyOverlap,3,separated_whisper,"if overlap_level >= 3, choose separated_whisper",1,2,2,9,50,50,5.555556,0.357,0.757,0.757,2.120448,0,Router is rule-based and does not use CER as an input feature. Cleaned transcript is retained as a fallback candidate but not selected by the initial rule.
SyntheticOppositeOverlap_01,SyntheticOppositeOverlap,4,separated_whisper,"if overlap_level >= 3, choose separated_whisper",2,2,2,32,58,58,1.8125,0.804,0.907,0.907,1.128109,0,Router is rule-based and does not use CER as an input feature. Cleaned transcript is retained as a fallback candidate but not selected by the initial rule.
SyntheticOppositeOverlap_02,SyntheticOppositeOverlap,4,separated_whisper,"if overlap_level >= 3, choose separated_whisper",1,2,2,18,51,51,2.833333,0.488,0.843,0.843,1.727459,0,Router is rule-based and does not use CER as an input feature. Cleaned transcript is retained as a fallback candidate but not selected by the initial rule.
SyntheticOppositeOverlap_03,SyntheticOppositeOverlap,4,separated_whisper,"if overlap_level >= 3, choose separated_whisper",1,2,2,6,46,46,7.666667,0.286,0.753,0.753,2.632867,0,Router is rule-based and does not use CER as an input feature. Cleaned transcript is retained as a fallback candidate but not selected by the initial rule.
SyntheticOppositeOverlap_04,SyntheticOppositeOverlap,4,separated_whisper,"if overlap_level >= 3, choose separated_whisper",3,2,2,14,43,43,3.071429,0.497,0.646,0.646,1.299799,0,Router is rule-based and does not use CER as an input feature. Cleaned transcript is retained as a fallback candidate but not selected by the initial rule.
SyntheticOppositeOverlap_05,SyntheticOppositeOverlap,4,separated_whisper,"if overlap_level >= 3, choose separated_whisper",1,2,2,19,50,50,2.631579,0.481,0.798,0.798,1.659044,0,Router is rule-based and does not use CER as an input feature. Cleaned transcript is retained as a fallback candidate but not selected by the initial rule.
