sample_id,tier,split,strategy,selected_method,decision_rule,mixed_segments_count,separated_segments_count,cleaned_segments_count,mixed_text_length,separated_text_length,cleaned_text_length,text_length_ratio,repetition_count,duplicate_removed_count,mixed_runtime_sec,separated_runtime_sec,cleaned_runtime_sec,runtime_ratio,cleaned_closer_to_mixed,notes
SyntheticNoOverlap_dev_02,SyntheticNoOverlap,dev,fixed_separated_whisper,separated_whisper,fixed baseline: always choose separated_whisper,2,28,3,30,513,63,17.1,25,25,1.083,7.056,7.056,6.515235,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_02,SyntheticNoOverlap,dev,fixed_separated_whisper_cleaned,separated_whisper_cleaned,fixed baseline: always choose separated_whisper_cleaned,2,28,3,30,513,63,17.1,25,25,1.083,7.056,7.056,6.515235,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_02,SyntheticNoOverlap,dev,oracle_best,oracle_best,oracle upper bound: choose the lowest CER method per sample.,2,28,3,30,513,63,17.1,25,25,1.083,7.056,7.056,6.515235,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_02,SyntheticNoOverlap,dev,v1_overlap_only,separated_whisper,"if overlap_level == 0, choose separated_whisper",2,28,3,30,513,63,17.1,25,25,1.083,7.056,7.056,6.515235,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_02,SyntheticNoOverlap,dev,length_ratio_only,mixed_whisper,separated transcript is length-inflated; fall back to mixed_whisper,2,28,3,30,513,63,17.1,25,25,1.083,7.056,7.056,6.515235,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_02,SyntheticNoOverlap,dev,repetition_only,separated_whisper_cleaned,high repetition_count; cleaned transcript is closer to mixed,2,28,3,30,513,63,17.1,25,25,1.083,7.056,7.056,6.515235,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_02,SyntheticNoOverlap,dev,removed_count_only,separated_whisper_cleaned,duplicate removal is high and cleaned is closer to mixed,2,28,3,30,513,63,17.1,25,25,1.083,7.056,7.056,6.515235,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_02,SyntheticNoOverlap,dev,length_plus_repetition,separated_whisper_cleaned,length inflation or repetition is high and cleaned is closer to mixed,2,28,3,30,513,63,17.1,25,25,1.083,7.056,7.056,6.515235,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_02,SyntheticNoOverlap,dev,v2_full_features,mixed_whisper,overlap_level==0 and repeated hallucinations are high; fall back to mixed_whisper,2,28,3,30,513,63,17.1,25,25,1.083,7.056,7.056,6.515235,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_03,SyntheticNoOverlap,dev,fixed_mixed_whisper,mixed_whisper,fixed baseline: always choose mixed_whisper,2,2,2,17,46,46,2.705882,0,0,0.759,1.08,1.08,1.422925,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_03,SyntheticNoOverlap,dev,fixed_separated_whisper,separated_whisper,fixed baseline: always choose separated_whisper,2,2,2,17,46,46,2.705882,0,0,0.759,1.08,1.08,1.422925,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_03,SyntheticNoOverlap,dev,fixed_separated_whisper_cleaned,separated_whisper_cleaned,fixed baseline: always choose separated_whisper_cleaned,2,2,2,17,46,46,2.705882,0,0,0.759,1.08,1.08,1.422925,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_03,SyntheticNoOverlap,dev,oracle_best,oracle_best,oracle upper bound: choose the lowest CER method per sample.,2,2,2,17,46,46,2.705882,0,0,0.759,1.08,1.08,1.422925,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_03,SyntheticNoOverlap,dev,v1_overlap_only,separated_whisper,"if overlap_level == 0, choose separated_whisper",2,2,2,17,46,46,2.705882,0,0,0.759,1.08,1.08,1.422925,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_03,SyntheticNoOverlap,dev,length_ratio_only,mixed_whisper,separated transcript is length-inflated; fall back to mixed_whisper,2,2,2,17,46,46,2.705882,0,0,0.759,1.08,1.08,1.422925,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_03,SyntheticNoOverlap,dev,repetition_only,separated_whisper,"repetition_count is low; reuse v1 rule (if overlap_level == 0, choose separated_whisper)",2,2,2,17,46,46,2.705882,0,0,0.759,1.08,1.08,1.422925,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_03,SyntheticNoOverlap,dev,removed_count_only,separated_whisper,"duplicate_removed_count is low; reuse v1 rule (if overlap_level == 0, choose separated_whisper)",2,2,2,17,46,46,2.705882,0,0,0.759,1.08,1.08,1.422925,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_03,SyntheticNoOverlap,dev,length_plus_repetition,mixed_whisper,length inflation or repetition is high; fall back to mixed_whisper,2,2,2,17,46,46,2.705882,0,0,0.759,1.08,1.08,1.422925,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_03,SyntheticNoOverlap,dev,v2_full_features,mixed_whisper,overlap_level==0 short transcript; choose mixed_whisper,2,2,2,17,46,46,2.705882,0,0,0.759,1.08,1.08,1.422925,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_04,SyntheticNoOverlap,dev,fixed_mixed_whisper,mixed_whisper,fixed baseline: always choose mixed_whisper,1,2,2,10,43,43,4.3,0,0,0.478,0.901,0.901,1.884937,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_04,SyntheticNoOverlap,dev,fixed_separated_whisper,separated_whisper,fixed baseline: always choose separated_whisper,1,2,2,10,43,43,4.3,0,0,0.478,0.901,0.901,1.884937,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_04,SyntheticNoOverlap,dev,fixed_separated_whisper_cleaned,separated_whisper_cleaned,fixed baseline: always choose separated_whisper_cleaned,1,2,2,10,43,43,4.3,0,0,0.478,0.901,0.901,1.884937,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_04,SyntheticNoOverlap,dev,oracle_best,oracle_best,oracle upper bound: choose the lowest CER method per sample.,1,2,2,10,43,43,4.3,0,0,0.478,0.901,0.901,1.884937,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_04,SyntheticNoOverlap,dev,v1_overlap_only,separated_whisper,"if overlap_level == 0, choose separated_whisper",1,2,2,10,43,43,4.3,0,0,0.478,0.901,0.901,1.884937,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_04,SyntheticNoOverlap,dev,length_ratio_only,mixed_whisper,separated transcript is length-inflated; fall back to mixed_whisper,1,2,2,10,43,43,4.3,0,0,0.478,0.901,0.901,1.884937,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_04,SyntheticNoOverlap,dev,repetition_only,separated_whisper,"repetition_count is low; reuse v1 rule (if overlap_level == 0, choose separated_whisper)",1,2,2,10,43,43,4.3,0,0,0.478,0.901,0.901,1.884937,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_04,SyntheticNoOverlap,dev,removed_count_only,separated_whisper,"duplicate_removed_count is low; reuse v1 rule (if overlap_level == 0, choose separated_whisper)",1,2,2,10,43,43,4.3,0,0,0.478,0.901,0.901,1.884937,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_04,SyntheticNoOverlap,dev,length_plus_repetition,mixed_whisper,length inflation or repetition is high; fall back to mixed_whisper,1,2,2,10,43,43,4.3,0,0,0.478,0.901,0.901,1.884937,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_04,SyntheticNoOverlap,dev,v2_full_features,mixed_whisper,overlap_level==0 short transcript; choose mixed_whisper,1,2,2,10,43,43,4.3,0,0,0.478,0.901,0.901,1.884937,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_05,SyntheticNoOverlap,dev,fixed_mixed_whisper,mixed_whisper,fixed baseline: always choose mixed_whisper,2,2,2,26,50,50,1.923077,0,0,0.776,0.823,0.823,1.060567,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_05,SyntheticNoOverlap,dev,fixed_separated_whisper,separated_whisper,fixed baseline: always choose separated_whisper,2,2,2,26,50,50,1.923077,0,0,0.776,0.823,0.823,1.060567,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_05,SyntheticNoOverlap,dev,fixed_separated_whisper_cleaned,separated_whisper_cleaned,fixed baseline: always choose separated_whisper_cleaned,2,2,2,26,50,50,1.923077,0,0,0.776,0.823,0.823,1.060567,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_05,SyntheticNoOverlap,dev,oracle_best,oracle_best,oracle upper bound: choose the lowest CER method per sample.,2,2,2,26,50,50,1.923077,0,0,0.776,0.823,0.823,1.060567,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_05,SyntheticNoOverlap,dev,v1_overlap_only,separated_whisper,"if overlap_level == 0, choose separated_whisper",2,2,2,26,50,50,1.923077,0,0,0.776,0.823,0.823,1.060567,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_05,SyntheticNoOverlap,dev,length_ratio_only,mixed_whisper,separated transcript is length-inflated; fall back to mixed_whisper,2,2,2,26,50,50,1.923077,0,0,0.776,0.823,0.823,1.060567,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_05,SyntheticNoOverlap,dev,repetition_only,separated_whisper,"repetition_count is low; reuse v1 rule (if overlap_level == 0, choose separated_whisper)",2,2,2,26,50,50,1.923077,0,0,0.776,0.823,0.823,1.060567,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_05,SyntheticNoOverlap,dev,removed_count_only,separated_whisper,"duplicate_removed_count is low; reuse v1 rule (if overlap_level == 0, choose separated_whisper)",2,2,2,26,50,50,1.923077,0,0,0.776,0.823,0.823,1.060567,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_05,SyntheticNoOverlap,dev,length_plus_repetition,mixed_whisper,length inflation or repetition is high; fall back to mixed_whisper,2,2,2,26,50,50,1.923077,0,0,0.776,0.823,0.823,1.060567,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_05,SyntheticNoOverlap,dev,v2_full_features,mixed_whisper,overlap_level==0 short transcript; choose mixed_whisper,2,2,2,26,50,50,1.923077,0,0,0.776,0.823,0.823,1.060567,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_06,SyntheticNoOverlap,dev,fixed_mixed_whisper,mixed_whisper,fixed baseline: always choose mixed_whisper,2,2,2,21,45,45,2.142857,0,0,0.633,0.767,0.767,1.21169,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_06,SyntheticNoOverlap,dev,fixed_separated_whisper,separated_whisper,fixed baseline: always choose separated_whisper,2,2,2,21,45,45,2.142857,0,0,0.633,0.767,0.767,1.21169,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_06,SyntheticNoOverlap,dev,fixed_separated_whisper_cleaned,separated_whisper_cleaned,fixed baseline: always choose separated_whisper_cleaned,2,2,2,21,45,45,2.142857,0,0,0.633,0.767,0.767,1.21169,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_06,SyntheticNoOverlap,dev,oracle_best,oracle_best,oracle upper bound: choose the lowest CER method per sample.,2,2,2,21,45,45,2.142857,0,0,0.633,0.767,0.767,1.21169,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_06,SyntheticNoOverlap,dev,v1_overlap_only,separated_whisper,"if overlap_level == 0, choose separated_whisper",2,2,2,21,45,45,2.142857,0,0,0.633,0.767,0.767,1.21169,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_06,SyntheticNoOverlap,dev,length_ratio_only,mixed_whisper,separated transcript is length-inflated; fall back to mixed_whisper,2,2,2,21,45,45,2.142857,0,0,0.633,0.767,0.767,1.21169,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_06,SyntheticNoOverlap,dev,repetition_only,separated_whisper,"repetition_count is low; reuse v1 rule (if overlap_level == 0, choose separated_whisper)",2,2,2,21,45,45,2.142857,0,0,0.633,0.767,0.767,1.21169,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_06,SyntheticNoOverlap,dev,removed_count_only,separated_whisper,"duplicate_removed_count is low; reuse v1 rule (if overlap_level == 0, choose separated_whisper)",2,2,2,21,45,45,2.142857,0,0,0.633,0.767,0.767,1.21169,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_06,SyntheticNoOverlap,dev,length_plus_repetition,mixed_whisper,length inflation or repetition is high; fall back to mixed_whisper,2,2,2,21,45,45,2.142857,0,0,0.633,0.767,0.767,1.21169,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_06,SyntheticNoOverlap,dev,v2_full_features,mixed_whisper,overlap_level==0 short transcript; choose mixed_whisper,2,2,2,21,45,45,2.142857,0,0,0.633,0.767,0.767,1.21169,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_07,SyntheticNoOverlap,dev,fixed_mixed_whisper,mixed_whisper,fixed baseline: always choose mixed_whisper,2,2,2,18,43,43,2.388889,0,0,0.59,0.523,0.523,0.886441,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_07,SyntheticNoOverlap,dev,fixed_separated_whisper,separated_whisper,fixed baseline: always choose separated_whisper,2,2,2,18,43,43,2.388889,0,0,0.59,0.523,0.523,0.886441,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_07,SyntheticNoOverlap,dev,fixed_separated_whisper_cleaned,separated_whisper_cleaned,fixed baseline: always choose separated_whisper_cleaned,2,2,2,18,43,43,2.388889,0,0,0.59,0.523,0.523,0.886441,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_07,SyntheticNoOverlap,dev,oracle_best,oracle_best,oracle upper bound: choose the lowest CER method per sample.,2,2,2,18,43,43,2.388889,0,0,0.59,0.523,0.523,0.886441,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_07,SyntheticNoOverlap,dev,v1_overlap_only,separated_whisper,"if overlap_level == 0, choose separated_whisper",2,2,2,18,43,43,2.388889,0,0,0.59,0.523,0.523,0.886441,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_07,SyntheticNoOverlap,dev,length_ratio_only,mixed_whisper,separated transcript is length-inflated; fall back to mixed_whisper,2,2,2,18,43,43,2.388889,0,0,0.59,0.523,0.523,0.886441,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_07,SyntheticNoOverlap,dev,repetition_only,separated_whisper,"repetition_count is low; reuse v1 rule (if overlap_level == 0, choose separated_whisper)",2,2,2,18,43,43,2.388889,0,0,0.59,0.523,0.523,0.886441,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_07,SyntheticNoOverlap,dev,removed_count_only,separated_whisper,"duplicate_removed_count is low; reuse v1 rule (if overlap_level == 0, choose separated_whisper)",2,2,2,18,43,43,2.388889,0,0,0.59,0.523,0.523,0.886441,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_07,SyntheticNoOverlap,dev,length_plus_repetition,mixed_whisper,length inflation or repetition is high; fall back to mixed_whisper,2,2,2,18,43,43,2.388889,0,0,0.59,0.523,0.523,0.886441,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_07,SyntheticNoOverlap,dev,v2_full_features,mixed_whisper,overlap_level==0 short transcript; choose mixed_whisper,2,2,2,18,43,43,2.388889,0,0,0.59,0.523,0.523,0.886441,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_08,SyntheticNoOverlap,dev,fixed_mixed_whisper,mixed_whisper,fixed baseline: always choose mixed_whisper,2,2,2,18,45,45,2.5,0,0,0.475,0.633,0.633,1.332632,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_08,SyntheticNoOverlap,dev,fixed_separated_whisper,separated_whisper,fixed baseline: always choose separated_whisper,2,2,2,18,45,45,2.5,0,0,0.475,0.633,0.633,1.332632,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_08,SyntheticNoOverlap,dev,fixed_separated_whisper_cleaned,separated_whisper_cleaned,fixed baseline: always choose separated_whisper_cleaned,2,2,2,18,45,45,2.5,0,0,0.475,0.633,0.633,1.332632,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_08,SyntheticNoOverlap,dev,oracle_best,oracle_best,oracle upper bound: choose the lowest CER method per sample.,2,2,2,18,45,45,2.5,0,0,0.475,0.633,0.633,1.332632,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_08,SyntheticNoOverlap,dev,v1_overlap_only,separated_whisper,"if overlap_level == 0, choose separated_whisper",2,2,2,18,45,45,2.5,0,0,0.475,0.633,0.633,1.332632,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_08,SyntheticNoOverlap,dev,length_ratio_only,mixed_whisper,separated transcript is length-inflated; fall back to mixed_whisper,2,2,2,18,45,45,2.5,0,0,0.475,0.633,0.633,1.332632,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_08,SyntheticNoOverlap,dev,repetition_only,separated_whisper,"repetition_count is low; reuse v1 rule (if overlap_level == 0, choose separated_whisper)",2,2,2,18,45,45,2.5,0,0,0.475,0.633,0.633,1.332632,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_08,SyntheticNoOverlap,dev,removed_count_only,separated_whisper,"duplicate_removed_count is low; reuse v1 rule (if overlap_level == 0, choose separated_whisper)",2,2,2,18,45,45,2.5,0,0,0.475,0.633,0.633,1.332632,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_08,SyntheticNoOverlap,dev,length_plus_repetition,mixed_whisper,length inflation or repetition is high; fall back to mixed_whisper,2,2,2,18,45,45,2.5,0,0,0.475,0.633,0.633,1.332632,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_08,SyntheticNoOverlap,dev,v2_full_features,mixed_whisper,overlap_level==0 short transcript; choose mixed_whisper,2,2,2,18,45,45,2.5,0,0,0.475,0.633,0.633,1.332632,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_09,SyntheticNoOverlap,dev,fixed_mixed_whisper,mixed_whisper,fixed baseline: always choose mixed_whisper,1,2,2,4,39,39,9.75,0,0,0.203,0.478,0.478,2.35468,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_09,SyntheticNoOverlap,dev,fixed_separated_whisper,separated_whisper,fixed baseline: always choose separated_whisper,1,2,2,4,39,39,9.75,0,0,0.203,0.478,0.478,2.35468,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_09,SyntheticNoOverlap,dev,fixed_separated_whisper_cleaned,separated_whisper_cleaned,fixed baseline: always choose separated_whisper_cleaned,1,2,2,4,39,39,9.75,0,0,0.203,0.478,0.478,2.35468,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_09,SyntheticNoOverlap,dev,oracle_best,oracle_best,oracle upper bound: choose the lowest CER method per sample.,1,2,2,4,39,39,9.75,0,0,0.203,0.478,0.478,2.35468,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_09,SyntheticNoOverlap,dev,v1_overlap_only,separated_whisper,"if overlap_level == 0, choose separated_whisper",1,2,2,4,39,39,9.75,0,0,0.203,0.478,0.478,2.35468,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_09,SyntheticNoOverlap,dev,length_ratio_only,mixed_whisper,separated transcript is length-inflated; fall back to mixed_whisper,1,2,2,4,39,39,9.75,0,0,0.203,0.478,0.478,2.35468,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_09,SyntheticNoOverlap,dev,repetition_only,separated_whisper,"repetition_count is low; reuse v1 rule (if overlap_level == 0, choose separated_whisper)",1,2,2,4,39,39,9.75,0,0,0.203,0.478,0.478,2.35468,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_09,SyntheticNoOverlap,dev,removed_count_only,separated_whisper,"duplicate_removed_count is low; reuse v1 rule (if overlap_level == 0, choose separated_whisper)",1,2,2,4,39,39,9.75,0,0,0.203,0.478,0.478,2.35468,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_09,SyntheticNoOverlap,dev,length_plus_repetition,mixed_whisper,length inflation or repetition is high; fall back to mixed_whisper,1,2,2,4,39,39,9.75,0,0,0.203,0.478,0.478,2.35468,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_09,SyntheticNoOverlap,dev,v2_full_features,mixed_whisper,overlap_level==0 short transcript; choose mixed_whisper,1,2,2,4,39,39,9.75,0,0,0.203,0.478,0.478,2.35468,False,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_10,SyntheticNoOverlap,dev,fixed_mixed_whisper,mixed_whisper,fixed baseline: always choose mixed_whisper,2,28,3,31,559,59,18.032258,25,25,0.817,4.559,4.559,5.580171,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_10,SyntheticNoOverlap,dev,fixed_separated_whisper,separated_whisper,fixed baseline: always choose separated_whisper,2,28,3,31,559,59,18.032258,25,25,0.817,4.559,4.559,5.580171,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_10,SyntheticNoOverlap,dev,fixed_separated_whisper_cleaned,separated_whisper_cleaned,fixed baseline: always choose separated_whisper_cleaned,2,28,3,31,559,59,18.032258,25,25,0.817,4.559,4.559,5.580171,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_10,SyntheticNoOverlap,dev,oracle_best,oracle_best,oracle upper bound: choose the lowest CER method per sample.,2,28,3,31,559,59,18.032258,25,25,0.817,4.559,4.559,5.580171,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_10,SyntheticNoOverlap,dev,v1_overlap_only,separated_whisper,"if overlap_level == 0, choose separated_whisper",2,28,3,31,559,59,18.032258,25,25,0.817,4.559,4.559,5.580171,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_10,SyntheticNoOverlap,dev,length_ratio_only,mixed_whisper,separated transcript is length-inflated; fall back to mixed_whisper,2,28,3,31,559,59,18.032258,25,25,0.817,4.559,4.559,5.580171,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
SyntheticNoOverlap_dev_10,SyntheticNoOverlap,dev,repetition_only,separated_whisper_cleaned,high repetition_count; cleaned transcript is closer to mixed,2,28,3,31,559,59,18.032258,25,25,0.817,4.559,4.559,5.580171,True,Router uses observable transcript instability features only; CER is reserved for evaluation.
