sample_id,tier,overlap_level,method,reference_path,hypothesis_path,reference_length,hypothesis_length,edit_distance,cer
SyntheticLightOverlap_01,SyntheticLightOverlap,1,mixed_whisper,resources/synthetic_overlap/references/SyntheticLightOverlap_01_silver_reference.json,results/synthetic_transcripts_raw/SyntheticLightOverlap_01_mixed_whisper.json,32,32,1,0.03125
SyntheticLightOverlap_01,SyntheticLightOverlap,1,separated_whisper,resources/synthetic_overlap/references/SyntheticLightOverlap_01_silver_reference.json,results/synthetic_transcripts_speaker/SyntheticLightOverlap_01_separated_speaker_transcript.json,32,32,0,0.0
SyntheticLightOverlap_01,SyntheticLightOverlap,1,separated_whisper_cleaned,resources/synthetic_overlap/references/SyntheticLightOverlap_01_silver_reference.json,results/synthetic_transcripts_postprocessed/SyntheticLightOverlap_01_separated_speaker_transcript_cleaned.json,32,32,0,0.0
SyntheticLightOverlap_02,SyntheticLightOverlap,1,mixed_whisper,resources/synthetic_overlap/references/SyntheticLightOverlap_02_silver_reference.json,results/synthetic_transcripts_raw/SyntheticLightOverlap_02_mixed_whisper.json,26,30,4,0.153846
SyntheticLightOverlap_02,SyntheticLightOverlap,1,separated_whisper,resources/synthetic_overlap/references/SyntheticLightOverlap_02_silver_reference.json,results/synthetic_transcripts_speaker/SyntheticLightOverlap_02_separated_speaker_transcript.json,26,20,24,0.923077
SyntheticLightOverlap_02,SyntheticLightOverlap,1,separated_whisper_cleaned,resources/synthetic_overlap/references/SyntheticLightOverlap_02_silver_reference.json,results/synthetic_transcripts_postprocessed/SyntheticLightOverlap_02_separated_speaker_transcript_cleaned.json,26,20,24,0.923077
SyntheticLightOverlap_03,SyntheticLightOverlap,1,mixed_whisper,resources/synthetic_overlap/references/SyntheticLightOverlap_03_silver_reference.json,results/synthetic_transcripts_raw/SyntheticLightOverlap_03_mixed_whisper.json,20,21,4,0.2
SyntheticLightOverlap_03,SyntheticLightOverlap,1,separated_whisper,resources/synthetic_overlap/references/SyntheticLightOverlap_03_silver_reference.json,results/synthetic_transcripts_speaker/SyntheticLightOverlap_03_separated_speaker_transcript.json,20,20,0,0.0
SyntheticLightOverlap_03,SyntheticLightOverlap,1,separated_whisper_cleaned,resources/synthetic_overlap/references/SyntheticLightOverlap_03_silver_reference.json,results/synthetic_transcripts_postprocessed/SyntheticLightOverlap_03_separated_speaker_transcript_cleaned.json,20,20,0,0.0
SyntheticLightOverlap_04,SyntheticLightOverlap,1,mixed_whisper,resources/synthetic_overlap/references/SyntheticLightOverlap_04_silver_reference.json,results/synthetic_transcripts_raw/SyntheticLightOverlap_04_mixed_whisper.json,18,19,3,0.166667
SyntheticLightOverlap_04,SyntheticLightOverlap,1,separated_whisper,resources/synthetic_overlap/references/SyntheticLightOverlap_04_silver_reference.json,results/synthetic_transcripts_speaker/SyntheticLightOverlap_04_separated_speaker_transcript.json,18,18,2,0.111111
SyntheticLightOverlap_04,SyntheticLightOverlap,1,separated_whisper_cleaned,resources/synthetic_overlap/references/SyntheticLightOverlap_04_silver_reference.json,results/synthetic_transcripts_postprocessed/SyntheticLightOverlap_04_separated_speaker_transcript_cleaned.json,18,18,2,0.111111
SyntheticLightOverlap_05,SyntheticLightOverlap,1,mixed_whisper,resources/synthetic_overlap/references/SyntheticLightOverlap_05_silver_reference.json,results/synthetic_transcripts_raw/SyntheticLightOverlap_05_mixed_whisper.json,25,24,1,0.04
SyntheticLightOverlap_05,SyntheticLightOverlap,1,separated_whisper,resources/synthetic_overlap/references/SyntheticLightOverlap_05_silver_reference.json,results/synthetic_transcripts_speaker/SyntheticLightOverlap_05_separated_speaker_transcript.json,25,25,1,0.04
SyntheticLightOverlap_05,SyntheticLightOverlap,1,separated_whisper_cleaned,resources/synthetic_overlap/references/SyntheticLightOverlap_05_silver_reference.json,results/synthetic_transcripts_postprocessed/SyntheticLightOverlap_05_separated_speaker_transcript_cleaned.json,25,25,1,0.04
SyntheticMidOverlap_01,SyntheticMidOverlap,2,mixed_whisper,resources/synthetic_overlap/references/SyntheticMidOverlap_01_silver_reference.json,results/synthetic_transcripts_raw/SyntheticMidOverlap_01_mixed_whisper.json,32,30,5,0.15625
SyntheticMidOverlap_01,SyntheticMidOverlap,2,separated_whisper,resources/synthetic_overlap/references/SyntheticMidOverlap_01_silver_reference.json,results/synthetic_transcripts_speaker/SyntheticMidOverlap_01_separated_speaker_transcript.json,32,32,0,0.0
SyntheticMidOverlap_01,SyntheticMidOverlap,2,separated_whisper_cleaned,resources/synthetic_overlap/references/SyntheticMidOverlap_01_silver_reference.json,results/synthetic_transcripts_postprocessed/SyntheticMidOverlap_01_separated_speaker_transcript_cleaned.json,32,32,0,0.0
SyntheticMidOverlap_02,SyntheticMidOverlap,2,mixed_whisper,resources/synthetic_overlap/references/SyntheticMidOverlap_02_silver_reference.json,results/synthetic_transcripts_raw/SyntheticMidOverlap_02_mixed_whisper.json,26,30,4,0.153846
SyntheticMidOverlap_02,SyntheticMidOverlap,2,separated_whisper,resources/synthetic_overlap/references/SyntheticMidOverlap_02_silver_reference.json,results/synthetic_transcripts_speaker/SyntheticMidOverlap_02_separated_speaker_transcript.json,26,26,25,0.961538
SyntheticMidOverlap_02,SyntheticMidOverlap,2,separated_whisper_cleaned,resources/synthetic_overlap/references/SyntheticMidOverlap_02_silver_reference.json,results/synthetic_transcripts_postprocessed/SyntheticMidOverlap_02_separated_speaker_transcript_cleaned.json,26,26,25,0.961538
SyntheticMidOverlap_03,SyntheticMidOverlap,2,mixed_whisper,resources/synthetic_overlap/references/SyntheticMidOverlap_03_silver_reference.json,results/synthetic_transcripts_raw/SyntheticMidOverlap_03_mixed_whisper.json,20,21,4,0.2
SyntheticMidOverlap_03,SyntheticMidOverlap,2,separated_whisper,resources/synthetic_overlap/references/SyntheticMidOverlap_03_silver_reference.json,results/synthetic_transcripts_speaker/SyntheticMidOverlap_03_separated_speaker_transcript.json,20,16,4,0.2
SyntheticMidOverlap_03,SyntheticMidOverlap,2,separated_whisper_cleaned,resources/synthetic_overlap/references/SyntheticMidOverlap_03_silver_reference.json,results/synthetic_transcripts_postprocessed/SyntheticMidOverlap_03_separated_speaker_transcript_cleaned.json,20,16,4,0.2
SyntheticMidOverlap_04,SyntheticMidOverlap,2,mixed_whisper,resources/synthetic_overlap/references/SyntheticMidOverlap_04_silver_reference.json,results/synthetic_transcripts_raw/SyntheticMidOverlap_04_mixed_whisper.json,18,11,9,0.5
SyntheticMidOverlap_04,SyntheticMidOverlap,2,separated_whisper,resources/synthetic_overlap/references/SyntheticMidOverlap_04_silver_reference.json,results/synthetic_transcripts_speaker/SyntheticMidOverlap_04_separated_speaker_transcript.json,18,18,2,0.111111
SyntheticMidOverlap_04,SyntheticMidOverlap,2,separated_whisper_cleaned,resources/synthetic_overlap/references/SyntheticMidOverlap_04_silver_reference.json,results/synthetic_transcripts_postprocessed/SyntheticMidOverlap_04_separated_speaker_transcript_cleaned.json,18,18,2,0.111111
SyntheticMidOverlap_05,SyntheticMidOverlap,2,mixed_whisper,resources/synthetic_overlap/references/SyntheticMidOverlap_05_silver_reference.json,results/synthetic_transcripts_raw/SyntheticMidOverlap_05_mixed_whisper.json,25,25,1,0.04
SyntheticMidOverlap_05,SyntheticMidOverlap,2,separated_whisper,resources/synthetic_overlap/references/SyntheticMidOverlap_05_silver_reference.json,results/synthetic_transcripts_speaker/SyntheticMidOverlap_05_separated_speaker_transcript.json,25,25,1,0.04
SyntheticMidOverlap_05,SyntheticMidOverlap,2,separated_whisper_cleaned,resources/synthetic_overlap/references/SyntheticMidOverlap_05_silver_reference.json,results/synthetic_transcripts_postprocessed/SyntheticMidOverlap_05_separated_speaker_transcript_cleaned.json,25,25,1,0.04
SyntheticHeavyOverlap_01,SyntheticHeavyOverlap,3,mixed_whisper,resources/synthetic_overlap/references/SyntheticHeavyOverlap_01_silver_reference.json,results/synthetic_transcripts_raw/SyntheticHeavyOverlap_01_mixed_whisper.json,32,27,9,0.28125
SyntheticHeavyOverlap_01,SyntheticHeavyOverlap,3,separated_whisper,resources/synthetic_overlap/references/SyntheticHeavyOverlap_01_silver_reference.json,results/synthetic_transcripts_speaker/SyntheticHeavyOverlap_01_separated_speaker_transcript.json,32,32,0,0.0
SyntheticHeavyOverlap_01,SyntheticHeavyOverlap,3,separated_whisper_cleaned,resources/synthetic_overlap/references/SyntheticHeavyOverlap_01_silver_reference.json,results/synthetic_transcripts_postprocessed/SyntheticHeavyOverlap_01_separated_speaker_transcript_cleaned.json,32,32,0,0.0
SyntheticHeavyOverlap_02,SyntheticHeavyOverlap,3,mixed_whisper,resources/synthetic_overlap/references/SyntheticHeavyOverlap_02_silver_reference.json,results/synthetic_transcripts_raw/SyntheticHeavyOverlap_02_mixed_whisper.json,26,27,6,0.230769
SyntheticHeavyOverlap_02,SyntheticHeavyOverlap,3,separated_whisper,resources/synthetic_overlap/references/SyntheticHeavyOverlap_02_silver_reference.json,results/synthetic_transcripts_speaker/SyntheticHeavyOverlap_02_separated_speaker_transcript.json,26,26,25,0.961538
SyntheticHeavyOverlap_02,SyntheticHeavyOverlap,3,separated_whisper_cleaned,resources/synthetic_overlap/references/SyntheticHeavyOverlap_02_silver_reference.json,results/synthetic_transcripts_postprocessed/SyntheticHeavyOverlap_02_separated_speaker_transcript_cleaned.json,26,26,25,0.961538
SyntheticHeavyOverlap_03,SyntheticHeavyOverlap,3,mixed_whisper,resources/synthetic_overlap/references/SyntheticHeavyOverlap_03_silver_reference.json,results/synthetic_transcripts_raw/SyntheticHeavyOverlap_03_mixed_whisper.json,20,16,12,0.6
SyntheticHeavyOverlap_03,SyntheticHeavyOverlap,3,separated_whisper,resources/synthetic_overlap/references/SyntheticHeavyOverlap_03_silver_reference.json,results/synthetic_transcripts_speaker/SyntheticHeavyOverlap_03_separated_speaker_transcript.json,20,16,4,0.2
SyntheticHeavyOverlap_03,SyntheticHeavyOverlap,3,separated_whisper_cleaned,resources/synthetic_overlap/references/SyntheticHeavyOverlap_03_silver_reference.json,results/synthetic_transcripts_postprocessed/SyntheticHeavyOverlap_03_separated_speaker_transcript_cleaned.json,20,16,4,0.2
SyntheticHeavyOverlap_04,SyntheticHeavyOverlap,3,mixed_whisper,resources/synthetic_overlap/references/SyntheticHeavyOverlap_04_silver_reference.json,results/synthetic_transcripts_raw/SyntheticHeavyOverlap_04_mixed_whisper.json,18,16,8,0.444444
SyntheticHeavyOverlap_04,SyntheticHeavyOverlap,3,separated_whisper,resources/synthetic_overlap/references/SyntheticHeavyOverlap_04_silver_reference.json,results/synthetic_transcripts_speaker/SyntheticHeavyOverlap_04_separated_speaker_transcript.json,18,18,2,0.111111
SyntheticHeavyOverlap_04,SyntheticHeavyOverlap,3,separated_whisper_cleaned,resources/synthetic_overlap/references/SyntheticHeavyOverlap_04_silver_reference.json,results/synthetic_transcripts_postprocessed/SyntheticHeavyOverlap_04_separated_speaker_transcript_cleaned.json,18,18,2,0.111111
SyntheticHeavyOverlap_05,SyntheticHeavyOverlap,3,mixed_whisper,resources/synthetic_overlap/references/SyntheticHeavyOverlap_05_silver_reference.json,results/synthetic_transcripts_raw/SyntheticHeavyOverlap_05_mixed_whisper.json,25,9,18,0.72
SyntheticHeavyOverlap_05,SyntheticHeavyOverlap,3,separated_whisper,resources/synthetic_overlap/references/SyntheticHeavyOverlap_05_silver_reference.json,results/synthetic_transcripts_speaker/SyntheticHeavyOverlap_05_separated_speaker_transcript.json,25,25,1,0.04
SyntheticHeavyOverlap_05,SyntheticHeavyOverlap,3,separated_whisper_cleaned,resources/synthetic_overlap/references/SyntheticHeavyOverlap_05_silver_reference.json,results/synthetic_transcripts_postprocessed/SyntheticHeavyOverlap_05_separated_speaker_transcript_cleaned.json,25,25,1,0.04
SyntheticOppositeOverlap_01,SyntheticOppositeOverlap,4,mixed_whisper,resources/synthetic_overlap/references/SyntheticOppositeOverlap_01_silver_reference.json,results/synthetic_transcripts_raw/SyntheticOppositeOverlap_01_mixed_whisper.json,32,30,14,0.4375
SyntheticOppositeOverlap_01,SyntheticOppositeOverlap,4,separated_whisper,resources/synthetic_overlap/references/SyntheticOppositeOverlap_01_silver_reference.json,results/synthetic_transcripts_speaker/SyntheticOppositeOverlap_01_separated_speaker_transcript.json,32,32,0,0.0
SyntheticOppositeOverlap_01,SyntheticOppositeOverlap,4,separated_whisper_cleaned,resources/synthetic_overlap/references/SyntheticOppositeOverlap_01_silver_reference.json,results/synthetic_transcripts_postprocessed/SyntheticOppositeOverlap_01_separated_speaker_transcript_cleaned.json,32,32,0,0.0
SyntheticOppositeOverlap_02,SyntheticOppositeOverlap,4,mixed_whisper,resources/synthetic_overlap/references/SyntheticOppositeOverlap_02_silver_reference.json,results/synthetic_transcripts_raw/SyntheticOppositeOverlap_02_mixed_whisper.json,26,18,14,0.538462
SyntheticOppositeOverlap_02,SyntheticOppositeOverlap,4,separated_whisper,resources/synthetic_overlap/references/SyntheticOppositeOverlap_02_silver_reference.json,results/synthetic_transcripts_speaker/SyntheticOppositeOverlap_02_separated_speaker_transcript.json,26,26,7,0.269231
SyntheticOppositeOverlap_02,SyntheticOppositeOverlap,4,separated_whisper_cleaned,resources/synthetic_overlap/references/SyntheticOppositeOverlap_02_silver_reference.json,results/synthetic_transcripts_postprocessed/SyntheticOppositeOverlap_02_separated_speaker_transcript_cleaned.json,26,26,7,0.269231
SyntheticOppositeOverlap_03,SyntheticOppositeOverlap,4,mixed_whisper,resources/synthetic_overlap/references/SyntheticOppositeOverlap_03_silver_reference.json,results/synthetic_transcripts_raw/SyntheticOppositeOverlap_03_mixed_whisper.json,20,6,18,0.9
SyntheticOppositeOverlap_03,SyntheticOppositeOverlap,4,separated_whisper,resources/synthetic_overlap/references/SyntheticOppositeOverlap_03_silver_reference.json,results/synthetic_transcripts_speaker/SyntheticOppositeOverlap_03_separated_speaker_transcript.json,20,20,0,0.0
SyntheticOppositeOverlap_03,SyntheticOppositeOverlap,4,separated_whisper_cleaned,resources/synthetic_overlap/references/SyntheticOppositeOverlap_03_silver_reference.json,results/synthetic_transcripts_postprocessed/SyntheticOppositeOverlap_03_separated_speaker_transcript_cleaned.json,20,20,0,0.0
SyntheticOppositeOverlap_04,SyntheticOppositeOverlap,4,mixed_whisper,resources/synthetic_overlap/references/SyntheticOppositeOverlap_04_silver_reference.json,results/synthetic_transcripts_raw/SyntheticOppositeOverlap_04_mixed_whisper.json,18,14,12,0.666667
SyntheticOppositeOverlap_04,SyntheticOppositeOverlap,4,separated_whisper,resources/synthetic_overlap/references/SyntheticOppositeOverlap_04_silver_reference.json,results/synthetic_transcripts_speaker/SyntheticOppositeOverlap_04_separated_speaker_transcript.json,18,18,0,0.0
SyntheticOppositeOverlap_04,SyntheticOppositeOverlap,4,separated_whisper_cleaned,resources/synthetic_overlap/references/SyntheticOppositeOverlap_04_silver_reference.json,results/synthetic_transcripts_postprocessed/SyntheticOppositeOverlap_04_separated_speaker_transcript_cleaned.json,18,18,0,0.0
SyntheticOppositeOverlap_05,SyntheticOppositeOverlap,4,mixed_whisper,resources/synthetic_overlap/references/SyntheticOppositeOverlap_05_silver_reference.json,results/synthetic_transcripts_raw/SyntheticOppositeOverlap_05_mixed_whisper.json,25,19,10,0.4
SyntheticOppositeOverlap_05,SyntheticOppositeOverlap,4,separated_whisper,resources/synthetic_overlap/references/SyntheticOppositeOverlap_05_silver_reference.json,results/synthetic_transcripts_speaker/SyntheticOppositeOverlap_05_separated_speaker_transcript.json,25,25,1,0.04
SyntheticOppositeOverlap_05,SyntheticOppositeOverlap,4,separated_whisper_cleaned,resources/synthetic_overlap/references/SyntheticOppositeOverlap_05_silver_reference.json,results/synthetic_transcripts_postprocessed/SyntheticOppositeOverlap_05_separated_speaker_transcript_cleaned.json,25,25,1,0.04
